                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.90021,                0.92653,                 1.0215,                0.75855,                0.68725,                0.74778,                 0.3935,                 1.7029,                 1.4819,                 1.5509,              0.0007823,              0.0007823,              0.0007823
                    125,                0.88252,                0.95774,                 1.0043,                0.75855,                0.68725,                0.74778,                 0.3935,                 1.7029,                 1.4819,                 1.5509,              0.0007724,              0.0007724,              0.0007724
                    126,                0.89724,                0.94971,                 1.0075,                0.88864,                0.62346,                0.75016,                0.40289,                 1.7168,                 1.4962,                 1.5537,              0.0007625,              0.0007625,              0.0007625
                    127,                0.95877,                0.86878,                0.98764,                0.88864,                0.62346,                0.75016,                0.40289,                 1.7168,                 1.4962,                 1.5537,              0.0007526,              0.0007526,              0.0007526
                    128,                0.93856,                0.87712,                 0.9477,                0.85913,                0.67188,                0.75294,                0.40073,                 1.7228,                 1.5319,                 1.5492,              0.0007427,              0.0007427,              0.0007427
                    129,                0.83581,                0.87236,                0.96487,                0.85913,                0.67188,                0.75294,                0.40073,                 1.7228,                 1.5319,                 1.5492,              0.0007328,              0.0007328,              0.0007328
                    130,                0.79396,                0.84721,                0.96742,                0.85845,                0.64062,                0.75445,                 0.4067,                 1.7352,                 1.5605,                 1.5584,              0.0007229,              0.0007229,              0.0007229
                    131,                0.84837,                0.82122,                0.96719,                0.85845,                0.64062,                0.75445,                 0.4067,                 1.7352,                 1.5605,                 1.5584,               0.000713,               0.000713,               0.000713
                    132,                0.83948,                0.91287,                0.97048,                0.79733,                0.65625,                 0.7491,                 0.4023,                 1.7076,                 1.5187,                 1.5383,              0.0007031,              0.0007031,              0.0007031
                    133,                0.78277,                0.82577,                0.96247,                0.79733,                0.65625,                 0.7491,                 0.4023,                 1.7076,                 1.5187,                 1.5383,              0.0006932,              0.0006932,              0.0006932
                    134,                0.83123,                0.76271,                0.91583,                0.88735,                0.64062,                0.75242,                0.39389,                 1.7072,                 1.5257,                 1.5355,              0.0006833,              0.0006833,              0.0006833
                    135,                 0.8794,                0.90539,                0.96796,                0.88735,                0.64062,                0.75242,                0.39389,                 1.7072,                 1.5257,                 1.5355,              0.0006734,              0.0006734,              0.0006734
                    136,                0.85601,                0.83684,                0.98781,                0.90655,                0.60639,                  0.738,                0.39127,                 1.7219,                 1.5661,                 1.5523,              0.0006635,              0.0006635,              0.0006635
                    137,                0.71367,                0.84244,                0.94128,                0.90655,                0.60639,                  0.738,                0.39127,                 1.7219,                 1.5661,                 1.5523,              0.0006536,              0.0006536,              0.0006536
                    138,                0.78366,                0.86322,                0.96073,                0.90094,                0.59375,                0.73204,                0.38219,                 1.7319,                 1.6439,                  1.558,              0.0006437,              0.0006437,              0.0006437
                    139,                0.81841,                0.95719,                 1.0001,                0.90094,                0.59375,                0.73204,                0.38219,                 1.7319,                 1.6439,                  1.558,              0.0006338,              0.0006338,              0.0006338
                    140,                0.76772,                0.72318,                0.95967,                0.75973,                0.69175,                0.74085,                0.39065,                 1.7456,                 1.6846,                 1.5675,              0.0006239,              0.0006239,              0.0006239
                    141,                 0.8436,                0.78456,                0.95424,                0.75973,                0.69175,                0.74085,                0.39065,                 1.7456,                 1.6846,                 1.5675,               0.000614,               0.000614,               0.000614
                    142,                0.79789,                0.81933,                 1.0148,                0.72241,                0.69132,                0.74033,                0.39347,                 1.7364,                 1.6741,                 1.5627,              0.0006041,              0.0006041,              0.0006041
                    143,                 0.7762,                0.81157,                 1.0064,                0.72241,                0.69132,                0.74033,                0.39347,                 1.7364,                 1.6741,                 1.5627,              0.0005942,              0.0005942,              0.0005942
                    144,                0.83845,                0.81102,                0.97592,                0.72867,                 0.7134,                 0.7506,                0.39185,                 1.7207,                 1.5972,                 1.5555,              0.0005843,              0.0005843,              0.0005843
                    145,                0.71154,                0.78977,                0.90262,                0.72867,                 0.7134,                 0.7506,                0.39185,                 1.7207,                 1.5972,                 1.5555,              0.0005744,              0.0005744,              0.0005744
                    146,                0.77477,                0.73781,                0.91546,                0.74589,                0.73384,                0.77046,                0.39796,                  1.693,                 1.5031,                 1.5455,              0.0005645,              0.0005645,              0.0005645
